,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,casual,registered,cnt,windspeed
100,101,2011-01-05,spring,0,1,9,0,Wednesday,Yes,Clear,0.22,0.19699999999999998,0.37,6,109,115,0.3284
101,102,2011-01-05,spring,0,1,10,0,Wednesday,Yes,Clear,0.22,0.19699999999999998,0.37,4,53,57,0.3284
102,103,2011-01-05,spring,0,1,11,0,Wednesday,Yes,Clear,0.26,0.2273,0.33,12,34,46,0.3284
103,104,2011-01-05,spring,0,1,12,0,Wednesday,Yes,Clear,0.26,0.2273,0.33,5,74,79,0.3284
104,105,2011-01-05,spring,0,1,13,0,Wednesday,Yes,Clear,0.28,0.2576,0.3,6,65,71,0.2985
105,106,2011-01-05,spring,0,1,14,0,Wednesday,Yes,Clear,0.3,0.2879,0.28,10,52,62,0.19399999999999998
106,107,2011-01-05,spring,0,1,15,0,Wednesday,Yes,Clear,0.3,0.2879,0.28,7,55,62,0.19399999999999998
107,108,2011-01-05,spring,0,1,16,0,Wednesday,Yes,Clear,0.3,0.3182,0.28,4,85,89,0.0896
108,109,2011-01-05,spring,0,1,17,0,Wednesday,Yes,Clear,0.24,0.2273,0.38,4,186,190,0.19399999999999998
109,110,2011-01-05,spring,0,1,18,0,Wednesday,Yes,Clear,0.24,0.2424,0.38,3,166,169,0.1343
110,111,2011-01-05,spring,0,1,19,0,Wednesday,Yes,Clear,0.24,0.2576,0.38,5,127,132,0.1045
111,112,2011-01-05,spring,0,1,20,0,Wednesday,Yes,Clear,0.22,0.2273,0.47,7,82,89,0.1642
112,113,2011-01-05,spring,0,1,21,0,Wednesday,Yes,Clear,0.2,0.19699999999999998,0.51,3,40,43,0.19399999999999998
113,114,2011-01-05,spring,0,1,22,0,Wednesday,Yes,Clear,0.18,0.19699999999999998,0.55,1,41,42,0.1343
114,115,2011-01-05,spring,0,1,23,0,Wednesday,Yes,Clear,0.2,0.2576,0.47,1,18,19,0.0
115,116,2011-01-06,spring,0,1,0,0,Thursday,Yes,Clear,0.18,0.2424,0.55,0,11,11,0.0
116,117,2011-01-06,spring,0,1,1,0,Thursday,Yes,Clear,0.16,0.2273,0.64,0,4,4,0.0
117,118,2011-01-06,spring,0,1,2,0,Thursday,Yes,Clear,0.16,0.2273,0.64,0,2,2,0.0
118,119,2011-01-06,spring,0,1,4,0,Thursday,Yes,Cloudy,0.16,0.19699999999999998,0.64,0,1,1,0.0896
119,120,2011-01-06,spring,0,1,5,0,Thursday,Yes,Cloudy,0.14,0.1818,0.69,0,4,4,0.0896
120,121,2011-01-06,spring,0,1,6,0,Thursday,Yes,Cloudy,0.14,0.1667,0.63,0,36,36,0.1045
121,122,2011-01-06,spring,0,1,7,0,Thursday,Yes,Cloudy,0.16,0.2273,0.59,0,95,95,0.0
122,123,2011-01-06,spring,0,1,8,0,Thursday,Yes,Clear,0.16,0.2273,0.59,3,216,219,0.0
123,124,2011-01-06,spring,0,1,9,0,Thursday,Yes,Cloudy,0.18,0.2424,0.51,6,116,122,0.0
124,125,2011-01-06,spring,0,1,10,0,Thursday,Yes,Clear,0.2,0.2576,0.47,3,42,45,0.0
125,126,2011-01-06,spring,0,1,11,0,Thursday,Yes,Clear,0.22,0.2576,0.44,2,57,59,
126,127,2011-01-06,spring,0,1,12,0,Thursday,Yes,Clear,0.26,0.2879,0.35,6,78,84,0.0
127,128,2011-01-06,spring,0,1,13,0,Thursday,Yes,Clear,0.26,0.2727,0.35,12,55,67,0.1045
128,129,2011-01-06,spring,0,1,14,0,Thursday,Yes,Clear,0.28,0.2727,0.36,11,59,70,0.1642
129,130,2011-01-06,spring,0,1,15,0,Thursday,Yes,Clear,0.28,0.2727,0.36,8,54,62,0.0
130,131,2011-01-06,spring,0,1,16,0,Thursday,Yes,Clear,0.26,0.2576,0.38,12,74,86,0.1642
131,132,2011-01-06,spring,0,1,17,0,Thursday,Yes,Clear,0.22,0.2273,0.51,9,163,172,0.1642
132,133,2011-01-06,spring,0,1,18,0,Thursday,Yes,Clear,0.22,0.2273,0.51,5,158,163,0.1343
133,134,2011-01-06,spring,0,1,19,0,Thursday,Yes,Clear,0.22,0.2576,0.55,3,109,112,0.0896
134,135,2011-01-06,spring,0,1,20,0,Thursday,Yes,Clear,0.2,0.2121,0.51,3,66,69,0.1642
135,136,2011-01-06,spring,0,1,21,0,Thursday,Yes,Cloudy,0.22,0.2121,0.55,0,48,48,0.2239
136,137,2011-01-06,spring,0,1,22,0,Thursday,Yes,Cloudy,0.22,0.2121,0.51,1,51,52,0.2836
137,138,2011-01-06,spring,0,1,23,0,Thursday,Yes,Cloudy,0.2,0.19699999999999998,0.59,4,19,23,0.19399999999999998
138,139,2011-01-07,spring,0,1,0,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.64,4,13,17,0.19399999999999998
139,140,2011-01-07,spring,0,1,1,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.69,2,5,7,0.2239
140,141,2011-01-07,spring,0,1,2,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.69,0,1,1,0.2239
141,142,2011-01-07,spring,0,1,4,0,Friday,Yes,Cloudy,0.2,0.2121,0.69,0,1,1,0.1343
142,143,2011-01-07,spring,0,1,5,0,Friday,Yes,Rainy,0.22,0.2727,0.55,0,5,5,0.0
143,144,2011-01-07,spring,0,1,6,0,Friday,Yes,Cloudy,0.2,0.2576,0.69,8,26,34,0.0
144,145,2011-01-07,spring,0,1,7,0,Friday,Yes,Clear,0.2,0.2121,0.69,8,76,84,0.1343
145,146,2011-01-07,spring,0,1,8,0,Friday,Yes,Clear,0.2,0.19699999999999998,0.51,20,190,210,0.2537
146,147,2011-01-07,spring,0,1,9,0,Friday,Yes,Clear,0.2,0.1818,0.47,9,125,134,0.2985
147,148,2011-01-07,spring,0,1,10,0,Friday,Yes,Clear,0.22,0.19699999999999998,0.37,16,47,63,0.3284
148,149,2011-01-07,spring,0,1,11,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.4,19,48,67,0.2239
149,150,2011-01-07,spring,0,1,12,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.37,9,50,59,0.2537
150,151,2011-01-07,spring,0,1,13,0,Friday,Yes,Cloudy,0.2,0.1818,0.37,9,64,73,0.2836
151,152,2011-01-07,spring,0,1,14,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.4,7,43,50,0.2537
152,153,2011-01-07,spring,0,1,15,0,Friday,Yes,Cloudy,0.2,0.2121,0.37,9,63,72,0.1642
153,154,2011-01-07,spring,0,1,16,0,Friday,Yes,Cloudy,0.2,0.2121,0.37,5,82,87,0.1642
154,155,2011-01-07,spring,0,1,17,0,Friday,Yes,Cloudy,0.2,0.2576,0.37,9,178,187,0.0
155,156,2011-01-07,spring,0,1,18,0,Friday,Yes,Clear,0.2,0.2273,0.4,7,116,123,0.0896
156,157,2011-01-07,spring,0,1,19,0,Friday,Yes,Clear,0.16,0.19699999999999998,0.55,3,92,95,0.0896
157,158,2011-01-07,spring,0,1,20,0,Friday,Yes,Clear,0.18,0.2121,0.47,1,50,51,0.1045
158,159,2011-01-07,spring,0,1,21,0,Friday,Yes,Clear,0.18,0.19699999999999998,0.47,0,39,39,0.1343
159,160,2011-01-07,spring,0,1,22,0,Friday,Yes,Cloudy,0.18,0.19699999999999998,0.43,2,34,36,0.1642
160,161,2011-01-07,spring,0,1,23,0,Friday,Yes,Cloudy,0.18,0.19699999999999998,0.51,1,14,15,0.1642
161,162,2011-01-08,spring,0,1,0,0,Saturday,No,Cloudy,0.18,0.19699999999999998,0.51,1,24,25,0.1642
162,163,2011-01-08,spring,0,1,1,0,Saturday,No,Cloudy,0.18,0.2121,0.55,1,15,16,0.0896
163,164,2011-01-08,spring,0,1,2,0,Saturday,No,Cloudy,0.18,0.2424,0.55,3,13,16,0.0
164,165,2011-01-08,spring,0,1,3,0,Saturday,No,Rainy,0.18,0.19699999999999998,0.55,0,7,7,0.1642
165,166,2011-01-08,spring,0,1,4,0,Saturday,No,Rainy,0.18,0.19699999999999998,0.55,0,1,1,0.1642
166,167,2011-01-08,spring,0,1,5,0,Saturday,No,Cloudy,0.16,0.1667,0.74,0,5,5,0.1642
167,168,2011-01-08,spring,0,1,6,0,Saturday,No,Cloudy,0.16,0.1667,0.74,0,2,2,0.1642
168,169,2011-01-08,spring,0,1,7,0,Saturday,No,Cloudy,0.16,0.1818,0.74,1,8,9,0.1045
169,170,2011-01-08,spring,0,1,8,0,Saturday,No,Rainy,0.16,0.1818,0.93,0,15,15,0.1045
170,171,2011-01-08,spring,0,1,9,0,Saturday,No,Rainy,0.16,0.1818,0.93,0,20,20,0.1045
171,172,2011-01-08,spring,0,1,10,0,Saturday,No,Cloudy,0.18,0.19699999999999998,0.8,5,56,61,0.1642
172,173,2011-01-08,spring,0,1,11,0,Saturday,No,Cloudy,0.2,0.1818,0.69,2,60,62,0.3881
173,174,2011-01-08,spring,0,1,12,0,Saturday,No,Cloudy,0.2,0.1818,0.59,8,90,98,0.3582
174,175,2011-01-08,spring,0,1,13,0,Saturday,No,Clear,0.2,0.1818,0.44,7,95,102,
175,176,2011-01-08,spring,0,1,14,0,Saturday,No,Clear,0.2,0.1667,0.32,12,83,95,0.4925
176,177,2011-01-08,spring,0,1,15,0,Saturday,No,Clear,0.2,0.1667,0.32,5,69,74,0.4478
177,178,2011-01-08,spring,0,1,16,0,Saturday,No,Clear,0.18,0.1364,0.29,8,68,76,0.4478
178,179,2011-01-08,spring,0,1,17,0,Saturday,No,Clear,0.16,0.1212,0.37,5,64,69,0.5522
179,180,2011-01-08,spring,0,1,18,0,Saturday,No,Clear,0.14,0.1212,0.39,3,52,55,0.2985
180,181,2011-01-08,spring,0,1,19,0,Saturday,No,Clear,0.14,0.1212,0.36,4,26,30,0.2537
181,182,2011-01-08,spring,0,1,20,0,Saturday,No,Clear,0.12,0.1212,0.36,0,28,28,0.2537
182,183,2011-01-08,spring,0,1,21,0,Saturday,No,Clear,0.12,0.1061,0.39,2,35,37,0.3582
183,184,2011-01-08,spring,0,1,22,0,Saturday,No,Clear,0.12,0.1061,0.36,1,33,34,0.3881
184,185,2011-01-08,spring,0,1,23,0,Saturday,No,Clear,0.1,0.0606,0.39,0,22,22,0.4478
185,186,2011-01-09,spring,0,1,0,0,Sunday,No,Clear,0.1,0.0758,0.42,1,24,25,0.3881
186,187,2011-01-09,spring,0,1,1,0,Sunday,No,Clear,0.1,0.0606,0.42,0,12,12,0.4627
187,188,2011-01-09,spring,0,1,2,0,Sunday,No,Clear,0.1,0.0606,0.46,0,11,11,0.4627
188,189,2011-01-09,spring,0,1,3,0,Sunday,No,Clear,0.1,0.0758,0.46,0,4,4,0.4179
189,190,2011-01-09,spring,0,1,4,0,Sunday,No,Clear,0.08,0.0909,0.53,0,1,1,0.19399999999999998
190,191,2011-01-09,spring,0,1,5,0,Sunday,No,Clear,0.08,0.0909,0.53,0,1,1,0.19399999999999998
191,192,2011-01-09,spring,0,1,6,0,Sunday,No,Clear,0.1,0.0909,0.49,0,1,1,0.2836
192,193,2011-01-09,spring,0,1,7,0,Sunday,No,Clear,0.08,0.0909,0.53,1,5,6,0.19399999999999998
193,194,2011-01-09,spring,0,1,8,0,Sunday,No,Clear,0.1,0.0909,0.49,0,10,10,0.2836
194,195,2011-01-09,spring,0,1,9,0,Sunday,No,Clear,0.12,0.0758,0.46,0,19,19,0.5224
195,196,2011-01-09,spring,0,1,10,0,Sunday,No,Clear,0.14,0.1061,0.43,0,49,49,0.3881
196,197,2011-01-09,spring,0,1,11,0,Sunday,No,Clear,0.16,0.1212,0.4,2,47,49,0.5224
197,198,2011-01-09,spring,0,1,12,0,Sunday,No,Clear,0.18,0.1364,0.37,4,79,83,0.4478
198,199,2011-01-09,spring,0,1,13,0,Sunday,No,Clear,0.2,0.1667,0.34,6,69,75,0.4478
199,200,2011-01-09,spring,0,1,14,0,Sunday,No,Clear,0.22,0.1818,0.32,8,64,72,0.4627
200,201,2011-01-09,spring,0,1,15,0,Sunday,No,Clear,0.22,0.19699999999999998,0.35,5,77,82,0.3582
201,202,2011-01-09,spring,0,1,16,0,Sunday,No,Clear,0.2,0.1667,0.34,13,79,92,0.4478
202,203,2011-01-09,spring,0,1,17,0,Sunday,No,Clear,0.18,0.1515,0.37,3,59,62,0.3881
203,204,2011-01-09,spring,0,1,18,0,Sunday,No,Clear,0.16,0.1364,0.4,4,44,48,
204,205,2011-01-09,spring,0,1,19,0,Sunday,No,Clear,0.16,0.1364,0.43,1,40,41,0.3284
205,206,2011-01-09,spring,0,1,20,0,Sunday,No,Clear,0.14,0.1212,0.46,0,38,38,0.2537
206,207,2011-01-09,spring,0,1,21,0,Sunday,No,Clear,0.14,0.1061,0.46,1,19,20,0.4179
207,208,2011-01-09,spring,0,1,22,0,Sunday,No,Clear,0.14,0.1212,0.46,5,10,15,0.2985
208,209,2011-01-09,spring,0,1,23,0,Sunday,No,Clear,0.12,0.1364,0.5,0,6,6,0.19399999999999998
209,210,2011-01-10,spring,0,1,0,0,Monday,Yes,Clear,0.12,0.1212,0.5,2,3,5,0.2836
210,211,2011-01-10,spring,0,1,1,0,Monday,Yes,Clear,0.12,0.1212,0.5,1,0,1,0.2836
211,212,2011-01-10,spring,0,1,2,0,Monday,Yes,Clear,0.12,0.1212,0.5,0,3,3,0.2239
212,213,2011-01-10,spring,0,1,3,0,Monday,Yes,Clear,0.12,0.1212,0.5,0,1,1,0.2239
213,214,2011-01-10,spring,0,1,4,0,Monday,Yes,Clear,0.1,0.1212,0.54,1,2,3,0.1343
214,215,2011-01-10,spring,0,1,5,0,Monday,Yes,Clear,0.1,0.1061,0.54,0,3,3,0.2537
215,216,2011-01-10,spring,0,1,6,0,Monday,Yes,Clear,0.12,0.1212,0.5,0,31,31,0.2836
216,217,2011-01-10,spring,0,1,7,0,Monday,Yes,Clear,0.12,0.1212,0.5,2,75,77,0.2239
217,218,2011-01-10,spring,0,1,8,0,Monday,Yes,Cloudy,0.12,0.1212,0.5,4,184,188,0.2836
218,219,2011-01-10,spring,0,1,9,0,Monday,Yes,Cloudy,0.14,0.1212,0.5,2,92,94,0.2537
219,220,2011-01-10,spring,0,1,10,0,Monday,Yes,Cloudy,0.14,0.1212,0.5,0,31,31,0.2985
220,221,2011-01-10,spring,0,1,11,0,Monday,Yes,Cloudy,0.16,0.1364,0.47,2,28,30,0.2836
221,222,2011-01-10,spring,0,1,12,0,Monday,Yes,Cloudy,0.2,0.1818,0.4,5,47,52,0.2836
222,223,2011-01-10,spring,0,1,13,0,Monday,Yes,Cloudy,0.2,0.1818,0.4,4,50,54,0.2836
223,224,2011-01-10,spring,0,1,14,0,Monday,Yes,Cloudy,0.2,0.19699999999999998,0.4,0,47,47,
224,225,2011-01-10,spring,0,1,15,0,Monday,Yes,Cloudy,0.2,0.19699999999999998,0.4,2,43,45,0.2239
225,226,2011-01-10,spring,0,1,16,0,Monday,Yes,Clear,0.2,0.2121,0.4,4,70,74,0.1343
226,227,2011-01-10,spring,0,1,17,0,Monday,Yes,Clear,0.2,0.2273,0.4,4,174,178,0.1045
227,228,2011-01-10,spring,0,1,18,0,Monday,Yes,Clear,0.2,0.19699999999999998,0.4,1,154,155,0.2239
228,229,2011-01-10,spring,0,1,19,0,Monday,Yes,Clear,0.16,0.1667,0.47,3,92,95,0.1642
229,230,2011-01-10,spring,0,1,20,0,Monday,Yes,Clear,0.16,0.1667,0.5,1,73,74,0.1642
230,231,2011-01-10,spring,0,1,21,0,Monday,Yes,Clear,0.14,0.1364,0.59,1,37,38,0.19399999999999998
231,232,2011-01-10,spring,0,1,22,0,Monday,Yes,Clear,0.14,0.1515,0.59,2,22,24,0.1642
232,233,2011-01-10,spring,0,1,23,0,Monday,Yes,Clear,0.14,0.1515,0.59,0,18,18,0.1642
