,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
122,123,2011-01-06,spring,0,1,8,0,Thursday,Yes,Clear,0.16,0.2273,,0.0,3.0,216.0,219.0
123,124,2011-01-06,spring,0,1,9,0,Thursday,Yes,,0.18,0.2424,0.51,0.0,6.0,116.0,122.0
124,125,2011-01-06,spring,0,1,10,0,Thursday,Yes,Clear,0.2,0.2576,0.47,0.0,3.0,42.0,45.0
125,126,2011-01-06,spring,0,1,11,0,Thursday,Yes,Clear,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0
126,127,2011-01-06,spring,0,1,12,0,Thursday,Yes,Clear,0.26,0.2879,0.35,0.0,6.0,78.0,84.0
127,128,2011-01-06,spring,0,1,13,0,Thursday,Yes,Clear,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0
128,129,2011-01-06,spring,0,1,14,0,Thursday,Yes,,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0
129,130,2011-01-06,spring,0,1,15,0,Thursday,Yes,Clear,0.28,0.2727,0.36,0.0,8.0,54.0,62.0
130,131,2011-01-06,spring,0,1,16,0,Thursday,Yes,Clear,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0
131,132,2011-01-06,spring,0,1,17,0,Thursday,Yes,Clear,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0
132,133,2011-01-06,spring,0,1,18,0,Thursday,Yes,Clear,0.22,0.2273,0.51,0.1343,5.0,158.0,
133,134,2011-01-06,spring,0,1,19,0,Thursday,Yes,Clear,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0
134,135,2011-01-06,spring,0,1,20,0,Thursday,Yes,Clear,,0.2121,0.51,0.1642,3.0,66.0,69.0
135,136,2011-01-06,spring,0,1,21,0,Thursday,Yes,Cloudy,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0
136,137,2011-01-06,spring,0,1,22,0,Thursday,Yes,Cloudy,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0
137,138,2011-01-06,spring,0,1,23,0,Thursday,Yes,Cloudy,0.2,0.19699999999999998,0.59,0.19399999999999998,4.0,19.0,23.0
138,139,2011-01-07,spring,0,1,0,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.64,0.19399999999999998,4.0,13.0,
139,140,2011-01-07,spring,0,1,1,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.69,0.2239,2.0,5.0,7.0
140,141,2011-01-07,spring,0,1,2,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.69,0.2239,0.0,1.0,1.0
141,142,2011-01-07,spring,0,1,4,0,Friday,Yes,Cloudy,0.2,0.2121,0.69,0.1343,0.0,,1.0
142,143,2011-01-07,spring,0,1,5,0,Friday,Yes,Rainy,,0.2727,0.55,,0.0,5.0,5.0
143,144,2011-01-07,spring,0,1,6,0,Friday,Yes,Cloudy,0.2,0.2576,0.69,0.0,8.0,26.0,
144,145,2011-01-07,spring,0,1,7,0,Friday,Yes,Clear,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0
145,146,2011-01-07,spring,0,1,8,0,Friday,Yes,Clear,0.2,0.19699999999999998,0.51,0.2537,20.0,,210.0
146,147,2011-01-07,spring,0,1,9,0,Friday,Yes,Clear,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0
147,148,2011-01-07,spring,0,1,10,0,Friday,Yes,Clear,0.22,0.19699999999999998,0.37,0.3284,16.0,47.0,63.0
148,149,2011-01-07,spring,0,1,11,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.4,0.2239,19.0,48.0,67.0
149,150,2011-01-07,spring,0,1,12,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.37,0.2537,9.0,50.0,59.0
150,151,2011-01-07,spring,0,1,13,0,Friday,Yes,Cloudy,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0
151,152,2011-01-07,spring,0,1,14,0,Friday,Yes,Cloudy,0.2,0.19699999999999998,0.4,0.2537,7.0,43.0,
152,153,2011-01-07,spring,0,1,15,0,Friday,Yes,Cloudy,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0
153,154,2011-01-07,spring,0,1,16,0,Friday,Yes,Cloudy,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0
154,155,2011-01-07,spring,0,1,17,0,Friday,Yes,Cloudy,0.2,0.2576,,0.0,9.0,178.0,187.0
155,156,2011-01-07,spring,0,1,18,0,Friday,Yes,Clear,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0
156,157,2011-01-07,spring,0,1,19,0,Friday,Yes,Clear,0.16,0.19699999999999998,0.55,0.0896,3.0,92.0,95.0
157,158,2011-01-07,spring,0,1,20,0,Friday,Yes,Clear,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0
158,159,2011-01-07,spring,0,1,21,0,Friday,Yes,Clear,,0.19699999999999998,0.47,0.1343,0.0,39.0,
159,160,2011-01-07,spring,0,1,22,0,Friday,Yes,Cloudy,0.18,0.19699999999999998,0.43,0.1642,,34.0,36.0
160,161,2011-01-07,spring,0,1,23,0,Friday,Yes,Cloudy,0.18,0.19699999999999998,0.51,0.1642,1.0,14.0,15.0
161,162,2011-01-08,spring,0,1,0,0,Saturday,No,Cloudy,0.18,0.19699999999999998,0.51,0.1642,1.0,24.0,25.0
162,163,2011-01-08,spring,0,1,1,0,Saturday,No,Cloudy,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0
163,164,2011-01-08,spring,0,1,2,0,Saturday,No,Cloudy,0.18,0.2424,,,3.0,13.0,16.0
164,165,2011-01-08,spring,0,1,3,0,Saturday,No,,0.18,0.19699999999999998,0.55,0.1642,0.0,7.0,7.0
165,166,2011-01-08,spring,0,1,4,0,Saturday,No,,0.18,0.19699999999999998,0.55,0.1642,0.0,1.0,1.0
166,167,2011-01-08,spring,0,1,5,0,Saturday,No,Cloudy,0.16,0.1667,,0.1642,0.0,5.0,5.0
167,168,2011-01-08,spring,0,1,6,0,Saturday,No,Cloudy,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0
168,169,2011-01-08,spring,0,1,7,0,Saturday,No,Cloudy,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0
169,170,2011-01-08,spring,0,1,8,0,Saturday,No,Rainy,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0
170,171,2011-01-08,spring,0,1,9,0,Saturday,No,Rainy,0.16,0.1818,0.93,,0.0,20.0,
171,172,2011-01-08,spring,0,1,10,0,Saturday,No,Cloudy,0.18,0.19699999999999998,0.8,0.1642,5.0,56.0,61.0
172,173,2011-01-08,spring,0,1,11,0,Saturday,No,Cloudy,0.2,,0.69,,2.0,60.0,62.0
173,174,2011-01-08,spring,0,1,12,0,Saturday,No,Cloudy,0.2,0.1818,0.59,0.3582,8.0,,98.0
174,175,2011-01-08,spring,0,1,13,0,Saturday,No,Clear,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0
175,176,2011-01-08,spring,0,1,14,0,Saturday,No,Clear,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0
176,177,2011-01-08,spring,0,1,15,0,Saturday,No,Clear,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0
177,178,2011-01-08,spring,0,1,16,0,Saturday,No,Clear,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0
178,179,2011-01-08,spring,0,1,17,0,Saturday,No,Clear,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0
179,180,2011-01-08,spring,0,1,18,0,Saturday,No,Clear,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0
180,181,2011-01-08,spring,0,1,19,0,Saturday,No,Clear,0.14,,0.36,0.2537,4.0,26.0,30.0
181,182,2011-01-08,spring,0,1,20,0,Saturday,No,Clear,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0
182,183,2011-01-08,spring,0,1,21,0,Saturday,No,Clear,0.12,0.1061,,0.3582,2.0,35.0,37.0
183,184,2011-01-08,spring,0,1,22,0,Saturday,No,Clear,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0
184,185,2011-01-08,spring,0,1,23,0,Saturday,No,Clear,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0
185,186,2011-01-09,spring,0,1,0,0,Sunday,No,Clear,0.1,0.0758,,0.3881,1.0,24.0,25.0
186,187,2011-01-09,spring,0,1,1,0,Sunday,No,Clear,0.1,,0.42,0.4627,0.0,12.0,12.0
187,188,2011-01-09,spring,0,1,2,0,Sunday,No,Clear,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0
188,189,2011-01-09,spring,0,1,3,0,Sunday,No,Clear,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0
189,190,2011-01-09,spring,0,1,4,0,Sunday,No,Clear,0.08,0.0909,0.53,,0.0,1.0,1.0
190,191,2011-01-09,spring,0,1,5,0,Sunday,No,Clear,0.08,0.0909,0.53,0.19399999999999998,0.0,1.0,1.0
191,192,2011-01-09,spring,0,1,6,0,Sunday,No,Clear,0.1,0.0909,,0.2836,0.0,1.0,1.0
192,193,2011-01-09,spring,0,1,7,0,Sunday,No,Clear,0.08,0.0909,0.53,0.19399999999999998,1.0,5.0,6.0
193,194,2011-01-09,spring,0,1,8,0,Sunday,No,Clear,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0
194,195,2011-01-09,spring,0,1,9,0,Sunday,No,Clear,0.12,0.0758,0.46,0.5224,0.0,,
195,196,2011-01-09,spring,0,1,10,0,Sunday,No,Clear,0.14,0.1061,0.43,,0.0,49.0,49.0
196,197,2011-01-09,spring,0,1,11,0,Sunday,No,Clear,0.16,0.1212,0.4,0.5224,,47.0,49.0
197,198,2011-01-09,spring,0,1,12,0,Sunday,No,Clear,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0
198,199,2011-01-09,spring,0,1,13,0,Sunday,No,Clear,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0
199,200,2011-01-09,spring,0,1,14,0,Sunday,No,Clear,,,0.32,0.4627,8.0,64.0,72.0
200,201,2011-01-09,spring,0,1,15,0,Sunday,No,Clear,0.22,0.19699999999999998,0.35,0.3582,5.0,77.0,82.0
201,202,2011-01-09,spring,0,1,16,0,Sunday,No,Clear,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0
202,203,2011-01-09,spring,0,1,17,0,Sunday,No,Clear,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0
203,204,2011-01-09,spring,0,1,18,0,Sunday,No,Clear,0.16,0.1364,,0.3284,4.0,44.0,48.0
204,205,2011-01-09,spring,0,1,19,0,Sunday,No,Clear,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0
205,206,2011-01-09,spring,0,1,20,0,Sunday,No,,0.14,0.1212,,0.2537,0.0,38.0,
206,207,2011-01-09,spring,0,1,21,0,Sunday,No,Clear,0.14,,0.46,0.4179,1.0,19.0,20.0
207,208,2011-01-09,spring,0,1,22,0,Sunday,No,Clear,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0
208,209,2011-01-09,spring,0,1,23,0,Sunday,No,Clear,0.12,0.1364,0.5,0.19399999999999998,0.0,6.0,6.0
209,210,2011-01-10,spring,0,1,0,0,Monday,Yes,Clear,0.12,0.1212,0.5,0.2836,2.0,3.0,5.0
210,211,2011-01-10,spring,0,1,1,0,Monday,Yes,Clear,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0
211,212,2011-01-10,spring,0,1,2,0,Monday,Yes,Clear,0.12,0.1212,0.5,,0.0,3.0,3.0
212,213,2011-01-10,spring,0,1,3,0,Monday,Yes,Clear,0.12,0.1212,0.5,0.2239,0.0,1.0,
213,214,2011-01-10,spring,0,1,4,0,Monday,Yes,Clear,0.1,0.1212,0.54,0.1343,,2.0,3.0
214,215,2011-01-10,spring,0,1,5,0,Monday,Yes,Clear,0.1,,0.54,0.2537,0.0,3.0,3.0
215,216,2011-01-10,spring,0,1,6,0,Monday,Yes,Clear,,,,,0.0,31.0,31.0
216,217,2011-01-10,spring,0,1,7,0,Monday,Yes,Clear,0.12,0.1212,0.5,,2.0,75.0,77.0
217,218,2011-01-10,spring,0,1,8,0,Monday,Yes,Cloudy,0.12,0.1212,0.5,0.2836,4.0,184.0,188.0
